n, iterator-time, recursive-time
1049,1891,5842
1050,1706,5477
1051,1821,5724
1052,1681,8881
1053,1388,5770
1054,1305,5249
1055,1749,5500
1056,1495,6438
1057,1478,6050
1058,2050,6763
1059,1463,8552
1060,1389,5920
1061,1316,5526
1062,1996,6083
1063,1526,4098
1064,1314,5757
1065,1953,6059
1066,1409,8810
1067,1692,9852
1068,2007,7664
1069,1630,5046
1070,2108,7172
1071,1505,8729
1072,1373,7639
1073,1451,5708
1074,2259,7096
1075,1833,6184
1076,1632,8253
1077,1479,7039441
1078,2021,3612
1079,1578,3390
1080,1259,3282
1081,1261,3328
1082,1261,3362
1083,1265,3373
1084,1269,3315
1085,1264,3358
1086,1269,3131
1087,1268,3242
1088,1270,3347
1089,1275,3047
1090,1273,3336
1091,1277,3386
1092,1274,3405
1093,1281,3122
1094,1285,3060
1095,1281,3124
1096,1275,3305
1097,1278,3031
1098,1270,2926
1099,1272,2976
1100,1279,3048
1101,1292,3062
1102,1284,3447
1103,1286,3224
1104,1279,3173
1105,1303,3161
1106,1287,3196
1107,1293,3067
1108,1290,3353
1109,1295,3453
1110,1297,3344
1111,1301,3302
1112,1291,7555
1113,1302,3280
1114,1300,3450
1115,1326,3185
1116,1300,3211
1117,1300,3172
1118,1451,3136
1119,1302,3150
1120,1298,3178
1121,1303,3113
1122,1305,3303
1123,1314,3199
1124,1312,3397
1125,1311,3374
1126,1304,3301
1127,1316,3355
1128,1313,3171
1129,1313,3578
1130,1328,3404
1131,1321,3445
1132,1316,3359
1133,1349,3345
1134,1320,3211
1135,1323,16394
1136,1401,3552
1137,1415,3473
1138,1429,3434
1139,1402,3378
1140,1420,3667
1141,1415,3538
1142,1435,3524
1143,1500,3492
1144,1435,3669
1145,1410,3380
1146,1411,3553
1147,1422,3643
1148,1417,3608
1149,1438,3677
1150,1413,3516
1151,1412,3629
1152,1435,3705
1153,1435,3796
1154,1435,3659
1155,1443,3552
1156,1546,3735
1157,1448,3541
1158,1438,3820
1159,1436,3510
1160,1455,3586
1161,1434,3836
1162,1665,20381
1163,1567,3991
1164,1429,3590
1165,1433,3374
1166,1429,3464
1167,1441,3733
1168,1440,25516
1169,46224,4477
1170,1472,4368
1171,1445,3644
1172,1451,3637
1173,1449,20600
1174,1445,3675
1175,1447,5892
1176,1458,3902
1177,1447,4018
1178,1447,3781
1179,1457,4319
1180,1455,4166
1181,1766,4502
1182,1485,3863
1183,1452,4083
1184,1462,4224
1185,1459,3983
1186,1451,4326
1187,1581,4052
1188,1461,4455
1189,1459,4442
1190,1455,4572
1191,1834,4297
1192,1642,8811
1193,1818,1412429
1194,2844,13251
1195,1598,4841
1196,1474,5385
1197,1563,5405
1198,1473,6995
1199,1792,9830
1200,1475,5182
1201,1793,42354
1202,1761,11669
1203,1486,4658
1204,1511,7179
1205,1474,6570
1206,1476,7152
1207,1479,64214
1208,1668,14095
1209,1911,11347
1210,1514,5009
1211,1740,4500
1212,1489,4855
1213,1569,7343
1214,1483,46012
1215,2016,4197
1216,1498,3680
1217,1486,11429
1218,1531,4634
1219,1500,26263
1220,1526,4089
1221,1502,6725
1222,3042,9668
1223,1523,4558
1224,1507,4379
1225,1505,4522
1226,1550,4399
1227,1582,4960
1228,1728,5617
1229,1676,5154
1230,1504,4936
1231,1827,5356
1232,2357,5793
1233,1624,5785
1234,1813,7099
1235,1514,4588
1236,1535,4091
1237,1519,3964
1238,1572,4003
1239,1517,3641
1240,1519,3629
1241,1671,3929
1242,1632,4172
1243,1519,3957
1244,1575,3765
1245,1531,4081
1246,1530,3993
1247,1531,4203
1248,1528,3952
1249,1616,4601
1250,1539,4268
1251,1540,3923
1252,1530,3886
1253,1529,4038
1254,1535,3979
1255,1548,4131
1256,1648,3959
1257,1543,4544
1258,1704,3871
1259,1543,4067
1260,1568,4018
1261,1559,3966
1262,1552,4168
1263,1560,4073
1264,1568,4109
1265,1646,4254
1266,1572,3986
1267,1566,14872
1268,1729,4689
1269,1596,4263
1270,17121485,7148
1271,2223,4672
1272,1593,3745
1273,1559,3962
1274,1569,4116
1275,1595,4009
1276,1577,4085
1277,1577,3967
1278,1591,3908
1279,1588,4251
1280,1593,4199
1281,1587,4311
1282,1596,8940
1283,1578,4590
1284,1589,4323
1285,1589,4159
1286,1592,4459
1287,1598,4535
1288,1598,4599
1289,1584,4426
1290,1582,4524
1291,1589,17509
1292,1511,4394
1293,1515,3869
1294,1495,3520
1295,1494,3483
1296,1495,3956
1297,1519,3773
1298,1503,4407
1299,1504,3720
1300,1504,3758
1301,1518,4202
1302,1517,3891
1303,1509,3932
1304,1504,3684
1305,1514,3695
1306,1517,3791
1307,1519,3806
1308,1512,3796
1309,1512,3987
1310,1522,4170
1311,1544,4161
1312,1552,4063
1313,1529,3986
1314,1517,4183
1315,1526,4205
1316,1529,4160
1317,1530,4209
1318,1533,4234
1319,1516,3610
1320,1518,3566
1321,2105,3984
1322,1535,3793
1323,1536,4083
1324,1540,4196
1325,1538,4292
1326,1541,4264
1327,1539,4319
1328,1540,4103
1329,1532,3915
1330,1545,4126
1331,1550,3932
1332,1556,4395
1333,1548,4344
1334,1546,3596
1335,1537,3578
1336,1538,3902
1337,1543,4083
1338,1557,4275
1339,1559,4311
1340,1556,4167
1341,1553,4050
1342,1553,4414
1343,1559,4402
1344,1564,4401
1345,1562,4122
1346,1557,4423
1347,1567,4470
1348,1566,4370
1349,1564,4283
1350,1571,4145
1351,1562,4171
1352,1562,3905
1353,1563,3918
1354,1560,3922
1355,1577,4030
1356,1601,4102
1357,1571,4009
1358,1566,3955
1359,1569,4061
1360,1574,4081
1361,1573,4112
1362,1570,4295
1363,1571,3717
1364,1573,3805
1365,1576,3947
1366,1581,3892
1367,1574,4250
1368,1578,4500
1369,1580,4257
1370,1584,4292
1371,1582,4252
1372,1584,4210
1373,1607,4040
1374,1590,3821
1375,1590,3940
1376,1602,4070
1377,1585,4343
1378,1602,4274
1379,1603,4298
1380,1596,4240
1381,1588,4362
1382,1601,4272
1383,1610,4838
1384,1610,4979
1385,1611,4942
1386,1607,4923
1387,1612,4160
1388,1606,3809
1389,1636,4030
1390,1612,3975
1391,1605,4832
1392,1644,4555
1393,1627,4955
1394,1617,4296
1395,1630,4468
1396,1629,4345
1397,1636,4948
1398,1636,4992
1399,1628,4916
1400,1631,5068
1401,1628,4073
1402,1615,3773
1403,1625,3790
1404,1623,4238
1405,1641,5012
1406,1644,4985
1407,1666,4441
1408,1640,4562
1409,1658,5071
1410,1652,5098
1411,1642,5052
1412,1637,5068
1413,1652,5070
1414,1651,5234
1415,1642,4080
1416,1642,4068
1417,1637,4054
1418,1638,4112
1419,1636,4115
1420,1638,4284
1421,1646,4285
1422,1645,4352
1423,1647,4651
1424,1647,4415
1425,1644,3874
1426,1643,3914
1427,1654,4160
1428,1653,4527
1429,1655,4249
1430,1653,4152
1431,1653,4271
1432,1658,4380
1433,1654,4516
1434,1656,4585
1435,1654,4218
1436,1667,4292
1437,1663,4404
1438,1652,4287
1439,1658,4204
1440,1662,3961
1441,1657,3930
1442,1659,4252
1443,1666,4491
1444,1668,4384
1445,1673,4477
1446,1692,4477
1447,1673,4452
1448,1671,4463
1449,1675,4377
1450,1677,4460
1451,1674,4579
1452,1678,8120
1453,1684,4587
1454,1684,4606
1455,1677,4484
1456,1683,4369
1457,1685,4435
1458,1690,4436
1459,1685,4463
1460,1683,4422
1461,1695,4467
1462,1692,4425
1463,1694,4448
1464,1683,4409
1465,1678,3991
1466,1689,4395
1467,1693,4609
1468,1693,4469
1469,1693,4695
1470,1696,4505
1471,1764,4458
1472,1703,4579
1473,1702,4883
1474,1698,4666
1475,1708,4601
1476,1708,4647
1477,1704,4930
1478,1697,4758
1479,1709,4656
1480,1713,4631
1481,1707,4601
1482,1710,4979
1483,1710,4794
1484,1719,5007
1485,1712,4786
1486,1727,5011
1487,1712,4661
1488,1715,5185
1489,1751,5002
1490,1715,4882
1491,1769,5257
1492,1724,4769
1493,1749,5106
1494,1722,4755
1495,1723,4698
1496,1728,4759
1497,1735,5139
1498,1727,5038
1499,1732,4897
1500,1802,4741
1501,1732,5027
1502,1732,4952
1503,1745,5138
1504,1736,5000
1505,1736,5036
1506,1744,4984
1507,1733,4925
1508,1754,5230
1509,1743,4914
1510,1742,5174
1511,1742,4755
1512,1756,5011
1513,1764,4983
1514,1752,5010
1515,1766,5241
1516,1754,5044
1517,1761,5151
1518,1758,4930
1519,1760,5051
1520,1775,5055
1521,1764,5264
1522,1769,4999
1523,1761,4905
1524,1763,4839
1525,1771,5127
1526,1783,4595
1527,1761,5253
1528,1785,4871
1529,1769,4675
1530,1772,5167
1531,1791,4866
1532,1763,4875
1533,1821,4862
1534,1776,5021
1535,1776,5067
1536,1797,5432
1537,1792,5222
1538,2015,5003
1539,1782,5097
1540,1786,5267
1541,1780,4993
1542,1795,5292
1543,1790,5038
1544,1803,5074
1545,1785,5176
1546,1788,5166
1547,1790,5194
1548,1782,5167
1549,1800,5192
1550,1793,5468
1551,1793,4956
1552,1794,5096
1553,1803,5086
1554,1792,5318
1555,1795,4651
1556,1792,4868
1557,1800,4939
1558,1805,5077
1559,1791,4846
1560,1801,5411
1561,1808,5124
1562,1801,5054
1563,1794,4837
1564,1805,4939
1565,1807,5198
1566,1805,5033
1567,1791,4610
1568,1803,4495
1569,1810,4472
1570,1946,4513
1571,1802,4637
1572,1800,4575
1573,1814,4662
1574,1804,4618
1575,1810,4730
1576,1811,4672
1577,1837,4460
1578,1838,4872
1579,2119,4805
1580,1811,4085
1581,1805,4165
1582,1810,4189
1583,1831,4154
1584,1804,12353
1585,1836,4485
1586,1820,4613
1587,1826,4730
1588,1816,4591
1589,1836,4557
1590,1826,4608
1591,1829,4621
1592,1822,4499
1593,1829,4572
1594,1841,4631
1595,1832,4718
1596,1848,4734
1597,1843,4757
1598,1858,4676
1599,1837,4649
1600,1837,4528
1601,1840,4592
1602,1840,4817
1603,1846,4530
1604,1843,4573
1605,1843,4759
1606,1847,4735
1607,1855,4688
1608,1846,4633
1609,1844,5065
1610,1850,4483
1611,1850,4349
1612,1850,4751
1613,1850,4969
1614,1855,4817
1615,1860,4724
1616,1860,4780
1617,1865,5008
1618,1860,4686
1619,1863,4796
1620,1858,4974
1621,1861,4751
1622,1861,4761
1623,1868,5010
1624,1872,8652
1625,1869,4926
1626,1868,5449
1627,1873,4795
1628,1882,4719
1629,1869,4677
1630,1870,4834
1631,1875,4558
1632,1867,275865
1633,2642,5771
1634,2484,5243
1635,1992,5069
1636,1996,5253
1637,1998,5286
1638,1996,5180
1639,1994,5282
1640,2002,5278
1641,2006,5066
1642,2009,5724326
1643,2543,157597
1644,2213,5828718
1645,38064,7654
1646,2052,5407
1647,2019,5333
1648,2037,5449
1649,2019,5340
1650,2013,5354
1651,2027,5369
1652,2024,5331
1653,2027,5382
1654,2023,5015
1655,2009,4769
1656,2011,5059
1657,2026,5784
1658,2029,5399
1659,2044,5494
1660,2036,5347
1661,2034,5347
1662,2032,5589
1663,2049,5628
1664,2076,5726
1665,2054,5616
1666,2040,4972
1667,2041,5105
1668,2031,5092
1669,2055,5637
1670,2046,5561
1671,2045,5346
1672,1923,4843
1673,1920,5226
1674,1924,5343
1675,1928,4866
1676,2071,5056
1677,1923,4947
1678,1919,5057
1679,1927,5154
1680,1936,5131
1681,1932,5446
1682,1922,4619
1683,1922,4576
1684,1939,5249
1685,1941,5477
1686,1925,4930
1687,1931,5045
1688,1934,4818
1689,1936,5013
1690,1930,4968
1691,1936,5255
1692,1954,5085
1693,2021,5002
1694,1939,5231
1695,1947,5057
1696,2035,5079
1697,1954,5251
1698,1953,5411
1699,1943,4920
1700,1950,5078
1701,1983,5168
1702,1953,5155
1703,1951,5319
1704,1951,5063
1705,1960,5222
1706,1955,5094
1707,1964,5441
1708,1966,5356
1709,1962,5421
1710,1964,5189
1711,1972,5502
1712,1982,5361
1713,1973,5379
1714,1968,5416
1715,1976,5278
1716,2008,5556
1717,1972,5384
1718,2007,5302
1719,2059,5313
1720,2053,5279
1721,19239563,11524
1722,2300,5837
1723,2113,67460
1724,2003,5898
1725,1982,84378
1726,3069,88998
1727,2484,11700
1728,2368,7747
1729,2202,9266
1730,2103,9121
1731,2201,9373
1732,2217,10377
1733,2356,8691
1734,3170,11440
1735,2887,8742
1736,2197,1235052
1737,3296,6755
1738,2136,5944
1739,2104,5824
1740,2108,5741
1741,2120,6182
1742,2114,5946
1743,2117,6231852
1744,3475,20601
1745,2800,9991
1746,2417,8099
1747,2107,8053
1748,2115,6258
1749,2116,7947
1750,2293,8423
1751,2583,46783
1752,7364,97960
1753,2357,14566
1754,2127,9323
1755,2377,8445
1756,2174,9308
